name,review
Flint's Kleintierpraxis AG,"War an einem Wochenende Notfallmässig in der Praxis. Personal war freundlich. Was mir nicht so gut gefallen hat: Als Notfall gekommen. Erst warteten wir im Wartebereich ca. 20 Min. Danach im Behandlungszimmer mit dem kranken, zitterndern, verängstigtem Hund auf dem Behandlungstisch ca.40 Min.auf Tierarzt. Das fand ich nicht angenehm. Notfälle sollten auch als das behandelt werden. Im Wartebereich kahmen andere Tiere die vor uns behandelt wurden obwohl sie später kahmen. Da lief wohl nicht alles ganz so wie es sollte. Die Behandlung an sich war gut!"
Flint's Kleintierpraxis AG,"Wir alle sind mit Flint's sehr zufrieden.

Auch Risikoeingriffe ohne Komplikationen überstanden!

Die negativen Bewertungen hier auf Google sind absolut irreführend!"
Flint's Kleintierpraxis AG,"Ich war sehr zufrieden wie ihr uns und meine 2 alten Kater aufgenommen habt. Arthus und Soxs waren eure Patienten. Ihr wart stehts bemüht Lösungen zu finden und hattet auch immer ein tröstentes Wort für uns obwohl auch Klartext gesprochen wurde. Ich achte sehr auf meine Tiere bei welchem Arzt Sie sich wohl fühlen und bei euch war es so. Leider konnten wir Sie nicht bei euch erlösen.  Der Reisestress were zu gross gewesen obwohl ihr nur ein Dorf weiter zu Hause seit. Jetzt haben wir wieder 2 Katzen, (Shadow und Rocky) und mit denen waren wir auch schon bei euch und sind sehr zufrieden."
Flint's Kleintierpraxis AG,Sehr freundliches und fachkundiges Personal. Helle freundliche Praxis für unsere 4beinigen Schätzelis
Flint's Kleintierpraxis AG,"Seit über 9 jahren mit meinen katzen und etlichen notfällen immer gut beraten , sehr menschlich . Super lieb mit den tieren und auch wen ich telefonisch fragen habe werd ich immer sehr gut beraten. Hab auch schon oft empfohlen und dan nur zufriedene reaktionen erhalten"
Flint's Kleintierpraxis AG,"Sehr kompetentes und freundliches Team. Angenehme, ruhige Atmosphäre."
Flint's Kleintierpraxis AG,"Letzten Samstag 13. Januar war Tag der offenen Türe bei FLINTS. Diese Praxis ist ja traumhaft schön, hell, luftig und freundlich. Ich gratuliere Veronica Caimi und den Partnerinnen zum grossen Schritt in eine neue Gemeinschaftspraxis mit solchen Räumen."
Flint's Kleintierpraxis AG,Super Tierklinik sehr kompetent und zuverlässig und professionell und freundlich bin schon seit Jahren mit meinem Hund Kim dort in Behandlung
Flint's Kleintierpraxis AG,alle mitarbeiter sehr freundlich und absolut empfehlenswert
Flint's Kleintierpraxis AG,"Seit 7 Jahren lasse ich meinen Hund von Flint behandeln, super Betreuung, sehr kompetentes und freundliches Team (Tierärztinnen und Assistentinnen).
Simone Pfirter, Pratteln"
Flint's Kleintierpraxis AG,"Gut. Schnelle Termine. Saubere Klinik, Ärtze unterscheiden sich, meistens jedoch gut"
Flint's Kleintierpraxis AG,Super gute Tierarzt Praxis ist sehr zu empfehlen.
Flint's Kleintierpraxis AG,"Gute Behandlung, freundliche Ärztin, aber unverschämt teuer ( für eine Nachkontrolle, die knapp fünf Minuten gedauert hat, bezahlte ich 28.50), unfreundliche Arzthelferinnen (wahrscheinlich zu lange im Ausgang am Freitagabend)"
Flint's Kleintierpraxis AG,"Grossartige Praxis, kompetente Ärztinnen und nettes Personal, absolut empfehlenswert!"
Flint's Kleintierpraxis AG,Sehr nette Team und tolle tierartzin ..Danke
Flint's Kleintierpraxis AG,"Top Kleintierpraxis: Freundlicher Empfang, schöne Praxis, kompetente Tierärztinnen, bei dringenden Fällen schnell verfügbar"
Flint's Kleintierpraxis AG,Sehr freundliches und kompetentes Team. Absolut zu empfehlen auch dank der zentralen Lage und der modernen Infrastruktur.
Flint's Kleintierpraxis AG,"Na geht so, sehr lange wartezeit bis man dran kommt trotz Terminvereinbarung"
Flint's Kleintierpraxis AG,Freundlicher Empfang. Systematische Analyse und sachte Vorgehensweise. Den Hund freut's 👍
Flint's Kleintierpraxis AG,Helle Räume und freundliche Atmosphäre. Wir fühlten uns im Moment einer schmerzlichen Entscheidung kompetent betreut.
Flint's Kleintierpraxis AG,Sehr netter Empfang und freundliche Bedienung
Flint's Kleintierpraxis AG,Meine Tierarztpraxis des Vertrauens. Kompetent und sehr freundlich.
Flint's Kleintierpraxis AG,"Habe gute Erfahrungen gemacht, sehr nett und zuvorkommend."
Flint's Kleintierpraxis AG,"Sehr entäuscht , hatten   keine zeit für einen Notfall ."
Flint's Kleintierpraxis AG,Wie immer beste Betreuung unseres Vierbeiners und das seit Jahren.  Danke
Flint's Kleintierpraxis AG,"Supernettes Team, meine Hunde fühlen sich dort wohl, jederzeit wieder"
Flint's Kleintierpraxis AG,Bin sehr zufrieden mit der Tierarzrpraxis Flint
Flint's Kleintierpraxis AG,"Flexibel, schnell und kompetent! Danke!!"
Flint's Kleintierpraxis AG,Sehr gute Erfahrung. Freundlich
Flint's Kleintierpraxis AG,Sehr empfehlenswerte Tierarztpraxis!
Flint's Kleintierpraxis AG,Super
Flint's Kleintierpraxis AG,"Empfehlenswert, sehr nette Behandlung,"
Flint's Kleintierpraxis AG,Leider nicht so zufrieden stellend.
Flint's Kleintierpraxis AG,Sehr nette Tierärzte!
Flint's Kleintierpraxis AG,Top Beratung und Bedienung
Flint's Kleintierpraxis AG,"Super team, danke 👍👍👍"
Flint's Kleintierpraxis AG,Freundlich und Kompetent
Flint's Kleintierpraxis AG,Super Tierärzte
Flint's Kleintierpraxis AG,Einmal und nie wieder
Flint's Kleintierpraxis AG,teuer
Flint's Kleintierpraxis AG,Nie wieder!
Flint's Kleintierpraxis AG,Kein Kommentar
Flint's Kleintierpraxis AG,"Ausnahmslos zu Empfehlen, kompetent und freundlich."
Flint's Kleintierpraxis AG,"(Übersetzt von Google) Eine gepflegte Tierklinik und sehr freundliches Personal.

(Original)
Una clinica veterinaria ben curata e personale molto gentile."
Flint's Kleintierpraxis AG,"Great staff and service. They really seem to care about the animals.

(Übersetzt von Google)
Tolles Personal und Service. Sie scheinen sich wirklich um die Tiere zu kümmern."
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,Super
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Flint's Kleintierpraxis AG,
Clinica Alpina,Wir hatten einen kleinen Unfall mit unserem Welpen. Konnten kurzfristig am gleichen Tag vorbei. Sehr freundliches Personal die sich wirklich super um unseren kleine gekümmert haben.
Clinica Alpina,"Unser Hund erkrankte in unseren Wanderferien. Wir mussten schnell handeln und ihn behandeln. Wir konnten sofort zur Clinica Alpina. Wir sind sehr zufrieden. Modern, freundlich professioneller Untersuch. Unserem Hund gehts wieder super uns auch. Besten Dank."
Clinica Alpina,"Waren heute notffallmässig mit unserem Hund Simba in der Tierklinik bei Herrn Bischoff. Schon der erste Telefonische Kontakt war tip top. Die Behandlung sehr kompetent und es wurde alles genau erklärt. Unser Seniorhund konnte sich vorher auch in Ruhe umschauen und wurde dadurch entspannter. Man bot uns sogar einen Kaffee an, beim warten 👍😁 . Der Tierarzt wurde uns von Christian Patscheider vom Hotel Baer Post in Zernez empfohlen und vermittelt. Man spürt diese Menschen lieben Tiere 💖 herzlichen Dank"
Clinica Alpina,"Sehr bemühte, engagierte und verständnisvolle Ärzte. Wir fühlen uns immer verstanden und ernst genommen. Sind froh das es die Clinica im Oberengadin gibt!"
Clinica Alpina,"Eine Tierärztin wohnt im selben Haus, wirkt sehr kompetent und hat demnächst eine RB auf meinem Pferd."
Clinica Alpina,Super Beratung u Umgang mit dem Tier. Gerne wieder
Clinica Alpina,Man wird ernst genommen und die Tiere fühlen sich wohl
Clinica Alpina,Sehr freundlich und Hilfsbereit. Professionelle Beratung.
Clinica Alpina,Tolle persönliche Betreuung.
Clinica Alpina,Beste Behandlung für Oscar
Clinica Alpina,Liebevolle und kompetente Betreuung
Clinica Alpina,"(Übersetzt von Google) ausgezeichnete Tierärzte, sehr kompetentes, freundliches und nettes Personal mit unseren Vierbeinern! 🐾

(Original)
ottimi veterinari, molto competenti, personale cordiale e gentile con i nostri amici a quattro zampe! 🐾"
Clinica Alpina,"(Übersetzt von Google) Sehr schlechte Erfahrung mit einem 4 Monate alten Pudelwelpen, kein Kontakt zum Tierarzt nur mit den Sekretärinnen, tausend Anrufe um mit dem Tierarzt über unseren Welpen sprechen zu können aber keiner unserer Versuche war erfolgreich, die einzige Antwort, die angerufen wird zurück, aber es kam kein Anruf, der Welpe starb nach 3 Tagen Krankenhausaufenthalt und bis heute haben wir keine Antwort darauf, was passiert ist, alles ein Verdacht, der durch durchgeführte Tests nicht bestätigt wurde.
Ich empfehle nicht für Welpen und Kleintiere.

(Original)
Pessima esperienza con un cucciolo di barboncino di 4 mesi, nessun contatto con il veterinario solo con le segretarie, mille telefonate per poter parlare con il veterinario riguardo la nostra cucciola ma nessun nostro tentativo andato a buon fine, l' unica risposta sarete richiamati ma nessuna chiamata mai arrivata, la cucciola e' morta dopo 3 giorni di ricovero e ad oggi non abbiamo avuto risposta di cosa sia successo, tutto un sospetto che nulla conferma da test effettuati.
Non consiglio per cuccioli e animali piccoli."
Clinica Alpina,"(Übersetzt von Google) Etwas teuer 395 chf für ein Röntgen und eine ärztliche Untersuchung

(Original)
Un po’ caro 395 chf per una radiografia e visita medica"
Clinica Alpina,"(Übersetzt von Google) Ausgezeichnete Tierarztpraxis. Würde es jedem empfehlen!

(Original)
Excellent vet practice. Would it recommend to anybody!"
Clinica Alpina,"(Übersetzt von Google) Beste Tierärztin ever Dr. mit. wissen Francesca Zala

(Original)
Beste Tierärztin ever Dr. med. vet. Francesca Zala"
Clinica Alpina,"(Übersetzt von Google) Sehr guter Arzt Tano'

(Original)
Bravissima la dottoressa Tano'"
Clinica Alpina,"(Übersetzt von Google) Sehr nett, sie erklären gut zu Fragen. Ich kann es nur empfehlen

(Original)
Molto gentili,spiegano bene alle domande.consiglio vivamente"
Clinica Alpina,"(Übersetzt von Google) Sehr sehr gut

(Original)
Bravissima"
Clinica Alpina,"(Übersetzt von Google) Großartig

(Original)
Excelente"
Clinica Alpina,"(Übersetzt von Google) ein bisschen teuer

(Original)
um pouco caro"
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina,
Clinica Alpina Tiermedizinisches Zentrum,"Sehr freundliche und hilfsbereite Mitarbeiter und Ärzte.
Jasper bedankt sich mit seinen 2Beinern"
Clinica Alpina Tiermedizinisches Zentrum,"Dr. Bischoff ist ein freundlicher und sehr kompetenter TA. Wir kamen aus Deutschland zum Urlaub nach Scuol. Leider bekam unser Jagdterrier (nach jagdlichem Schwarzwildeinsatz 1 Tag vorher) völlig unerwartet eine sehr schwere Magen/Darm Problematik mit gänzlicher Apathie, Schmerzen und Regungslosigkeit. Es war wirklich schlimm!
Dr. Bischoff hat mit uns am sehr frühen Sonntagmorgen alle Krankheitsmöglichkeiten durchgesprochen, die In Frage kommen könnten oder auch ausgeschlossen werden können. Dabei hat er alles zudem perfekt für Laien erklärt.
Kurzum: Er hat die richtige Diagnose gestellt, das richtige Medikament verordnet und unserem ""Terry"" vermutlich das Leben gerettet.
Ich würde Ihn auch mit 10 Punkten bewerten, wenn das bei Google möglich wäre.
Wir kommen sicher wieder nach Scuol, alle schon deshalb, weil dort ein hervorragender Tierarzt praktiziert.
Nochmals besten Dank von ganzem Herzen!"
Clinica Alpina Tiermedizinisches Zentrum,"Super, nach einem Telefonat wurde unser Hund schon behandelt, danke, danke, und freundlich waren Sie alle, macht weiter so."
Clinica Alpina Tiermedizinisches Zentrum,"Ein Besuch in der Clinica ist sehr interessant und lehrreich, wir Senioren wurden regelrecht überrascht,was hier für das Tierwohl alles gemacht werden kann. Danke
P.Andri"
Clinica Alpina Tiermedizinisches Zentrum,Danke für Euren Eisatz bei Nala mit der Akuten Bauchspeicheldrüse  ihr seit die besten. Danke Danke Danke
Clinica Alpina Tiermedizinisches Zentrum,Tolle Klinik mit einem sehr professionellenTeam. Waren jetzt schon 2x da und jedes Mal 1A Behandlung. Sehr zu empfehlen!
Clinica Alpina Tiermedizinisches Zentrum,"Riesengrossen Dank an Herrn Bischoff für das liebevolle Umgehen mit unserer Kira. Sie hatte sich die Wolfskralle eingerissen und diese musste behandelt werden.
Ich habe noch niemals erlebt, dass ein Tierarzt so einfühlsam mit unserem Hund umging.
Ich kann diese Tierklinik nur weiterempfehlen!!!!!

Nochmals vielen vielen Dank

Carine Carnevale"
Clinica Alpina Tiermedizinisches Zentrum,"Wir waren vor 5 oder 6 Jahren mit unserem Hund Sky im Urlaub da wegen einer abgerissenen Kralle. Zum einen hat der Arzt sich sehr viel Zeit genommen und Sky umfassend untersucht und behandelt, zum anderen war er auch sehr nett und freundlich, der Behandlungspreis identisch mit einem, den ich in Deutschland bezahlt hätte. Das allerwesentlichste aber:  Der Doc hat uns ein Medikament für unseren damals schon älteren Sky empfohlen, was seiner Meinung nach Sky bessere Lebensqualität bringen würde, da Sky eine Schwäche in der Hüftmuskulatur hätte, was typisch für ältere Hunde  sei und der Doc erklärte das auch genau an Sky. Ich war irritiert, war doch Sky in regelmäßiger Behandlung beim Tierarzt vor Ort in Deutschland. Ich bekam von dem Medikament eine angebrochene, aber fast noch volle Flasche mit OHNE Berechnung. Ich habe sofort ein besseres Laufen bei Sky gemerkt. Habe meine Tierärztin vor Ort angesprochen, weil ich das Medikament weiter haben wollte und sie hielt das Medikament für positiv. Warum sie es mir dann nicht empfohlen hat habe ich nicht verstanden. Ich bin kein Freund von Medikamenten für mich als Mensch, weil ich für mich sehr wohl Alternativen wie Ernährungsumstellung etc. ausprobieren kann und diese beurteilen kann, aber sehr wohl für meine Tiere, wenn diese älter sind und ein Medikament mehr Lebensqualität für meine Tiere bringt, denn an meinen Tieren möchte ich nicht experementieren wie an mir selbst. Ich schreibe diese Beurteilung nach Jahren, weil ich beim Lesen eines alten eigenen Berichtes im Internet das Thema Sky und Humpeln wieder gesehen habe und dort erwähne, dass ich mittlerweile das Medikament Methacam einsetze und da kam die Erinnerung an den Arztbesuch dort und das mir neben der Behandlung des Problems  eine wirklich tolle Sache für den Sky empfohlen wurde. Sky ist dann übrigens fast 15 Jahre alt geworden und hat das empfohlene Methacam über bald 3 Jahre bekommen."
Clinica Alpina Tiermedizinisches Zentrum,"Sehr nett, hilfsbereit und sehr gründlich mit viel Geduld."
Clinica Alpina Tiermedizinisches Zentrum,Super Tierklinik mit kompetentem Team.
Clinica Alpina Tiermedizinisches Zentrum,Sehr tierlieb. Sehr kompetent
Clinica Alpina Tiermedizinisches Zentrum,Professionelle Klinik. Freundliche Mitarbeiter
Clinica Alpina Tiermedizinisches Zentrum,👍
Clinica Alpina Tiermedizinisches Zentrum,"(Übersetzt von Google) Gut gemacht das ganze Team, nochmals vielen Dank für alles 👍👍😊

(Original)
Bravissimi tutto il team, grazie ancora di tutto 👍👍😊"
Clinica Alpina Tiermedizinisches Zentrum,"(Übersetzt von Google) Guter Zugang, schnelle Ausrüstung. Hilfsbereites Personal und angenehme Umgebung.

(Original)
Dobrý prístup rýchle vybavenie. Ochotný personál a prijenne prostredie."
Clinica Alpina Tiermedizinisches Zentrum,"(Übersetzt von Google) Außergewöhnlicher orthopädischer Tierarzt. Einfach Weltklasse.

(Original)
Exceptional Orthopaedic Vet. Simply world class."
Clinica Alpina Tiermedizinisches Zentrum,"(Übersetzt von Google) Sehr freundliches Personal und Ärzte. Saubere Anlage.

(Original)
Very friendly staff and doctors. Clean facility."
Clinica Alpina Tiermedizinisches Zentrum,"(Übersetzt von Google) Spitze

(Original)
Top"
Clinica Alpina Tiermedizinisches Zentrum,
Clinica Alpina Tiermedizinisches Zentrum,
Clinica Alpina Tiermedizinisches Zentrum,"Took my nervous pomeranian for a tape worm treatment in order to travel back UK and the Vet there was really gentle and professional.  She examined my boy first and then gave him the pill.
Thank you doctor and reception lady- we had a stress free experience 😀
Highly recommend the clinic!

(Übersetzt von Google)
Ich nahm meinen nervösen Pomeranian zu einer Bandwurmbehandlung, um zurück nach Großbritannien zu reisen, und der Tierarzt dort war wirklich sanft und professionell. Sie hat meinen Jungen zuerst untersucht und ihm dann die Pille gegeben.
Vielen Dank an den Arzt und die Empfangsdame - wir hatten eine stressfreie Erfahrung?
Die Klinik ist sehr zu empfehlen!"
Clinica Alpina Tiermedizinisches Zentrum,
Clinica Alpina Tiermedizinisches Zentrum,
Clinica Alpina Tiermedizinisches Zentrum,
Clinica Alpina Tiermedizinisches Zentrum,
Clinica Alpina Tiermedizinisches Zentrum,
Clinica Alpina Tiermedizinisches Zentrum,
Clinica Alpina Tiermedizinisches Zentrum,
Clinica Alpina Tiermedizinisches Zentrum,
Clinica Alpina Tiermedizinisches Zentrum,
Clinica Alpina Tiermedizinisches Zentrum,
Clinica Alpina Tiermedizinisches Zentrum,
VetTrust Kleintierklinik am Damm,"Wir sind schon jahrelang Kunde  bei der Tierklinik am Damm bzw. neu der VetTrust.
Wir fühlen uns aus folgenden Gründen  sehr wohl in dieser Praxis: Unkomplizierte und bei Bedarf schnelle Terminvereinbarung, keine oder kurze Wartezeiten, freundliche, hilfsbereite Mitarbeiterinnen.Alle Ärzte sehr gut ausgebildet und gute Diagnostiker. Bin Frau Dr. Eicher zugeteilt. Sie überzeugt mich mit ihrer  Fachkompetenz, ihrem Engagement und ihrer umgänglichen Art. Eine Praxis also, die ich vorbehaltslos weiterempfehlen kann."
VetTrust Kleintierklinik am Damm,"Wir waren das erste Mal dort und es war super. Wir sind sehr zufrieden vom Empfang bis zum Verabschieden. Unser Haustier hat sich auch wohl gefühlt und sie sind sehr herzlich und erklären alles sehr genau. Wir kommen gerne wieder. Vielen herzlichen Dank, wir schätzen Ihre Arbeit sehr! 🙂👍🏻🙏🏻🍀"
VetTrust Kleintierklinik am Damm,"Tolles, nettes und freundliches Team.
Wir sind schon mit dem 2. Hund in dieser Klinik. Der einzige Ort wo mein Hund gerne und ohne Angst hingeht.
Praktisch keine Wartezeit. Toll auch das man in einen separaten Behandlungszimmer und nicht mit anderen Tieren warten muss.
sehr zu empfehlen 👍"
VetTrust Kleintierklinik am Damm,"Sehr kompetente und einfühlsame Ärzte.
Hier merkt man, dass Ärzte und Tierarzthelferinnen ihre Arbeit mit viel Liebe und Freude ausüben. Alle Anfragen werden sofort ernst genommen und beantwortet. Man fühlt sich wie „ zuhause „
Wir haben eine Tierarztpraxis für‘s Leben gefunden. Danke😀"
